LOCALITY_ID,distance_sample,m_w_t,m_w_t_n_n,days_since,norm.distance_sample,norm.m_w_t,norm.m_w_t_n_n,norm.days_since
L1030678,0,691488,10,494,0,5.088213295629213,0.2891344222895763,18.3588584099192
L915566,0,12556,10,0,0,0.06948566241132854,0.2891344222895763,0
L945869,0,3156,779.1847564820771,0,0,0,25,0
L2444301,0,18888,85,9,0,0.1162923873462788,2.698587941369379,0.33447312892565345
L1300136,0,29630,588,7,0,0.19569823688058638,18.857989542664587,0.2601457669421749
L3007885,3.095376863726871,3385148.6563970833,5,672.6997792699003,25,25,0.12850418768425614,25
L2557723,0,108715,8,285,0,0.7803018126039819,0.22488232844744827,10.591649082645693
L5076722,0,17316,5,258,0,0.10467201912174598,0.12850418768425614,9.588229695868733
L5146094,0,3345,36,39,0,0.0013971053399724571,1.1244116422372414,1.4493835586778316
L8083126,0,3385148.6563970833,1,25,0,25,0,0.9290920247934817
